Wavelength ( l / nm),ssc(l),smc(l),slc(l),srh(l),smel(l),,,,,
679,,  1.57115E-03,  2.44260E-02,7.69E-05,1.02723E-05,,,,,
680,,  1.45798E-03,  2.27738E-02,7.15E-05,9.57637E-06,,,,,
681,,  1.35274E-03,  2.12238E-02,6.66E-05,8.93033E-06,,,,,
682,,  1.25476E-03,  1.97679E-02,6.20E-05,8.32543E-06,,,,,
683,,  1.16340E-03,  1.83986E-02,5.78E-05,7.76135E-06,,,,,
684,,  1.07812E-03,  1.71092E-02,5.38E-05,7.23773E-06,,,,,
685,,  9.98424E-04,  1.58939E-02,5.01E-05,6.75425E-06,,,,,
686,,  9.23962E-04,  1.47492E-02,4.67E-05,6.30499E-06,,,,,
687,,  8.54713E-04,  1.36773E-02,4.36E-05,5.88407E-06,,,,,
688,,  7.90652E-04,  1.26804E-02,4.06E-05,5.49115E-06,,,,,
689,,  7.31684E-04,  1.17590E-02,3.789E-05,5.12592E-06,,,,,
690,,  6.77653E-04,  1.09123E-02,3.533E-05,4.78804E-06,,,,,
691,,  6.28297E-04,  1.01373E-02,3.295E-05,4.47347E-06,,,,,
692,,  5.83108E-04,  9.42568E-03,3.075E-05,4.17829E-06,,,,,
693,,  5.41584E-04,  8.76917E-03,2.870E-05,3.90243E-06,,,,,
694,,  5.03294E-04,  8.16076E-03,2.679E-05,3.64583E-06,,,,,
695,,  4.67870E-04,  7.59453E-03,2.501E-05,3.40841E-06,,,,,
696,,  4.35007E-04,  7.06588E-03,2.336E-05,3.18739E-06,,,,,
697,,  4.04490E-04,  6.57252E-03,2.182E-05,2.97998E-06,,,,,
698,,  3.76138E-04,  6.11262E-03,2.038E-05,2.78604E-06,,,,,
699,,  3.49784E-04,  5.68440E-03,1.905E-05,2.60548E-06,,,,,
700,,  3.25278E-04,  5.28607E-03,1.780E-05,2.43819E-06,,,,,
701,,  3.02477E-04,  4.91573E-03,1.664E-05,2.28225E-06,,,,,
702,,  2.81237E-04,  4.57086E-03,1.556E-05,2.13580E-06,,,,,
703,,  2.61427E-04,  4.24908E-03,1.454E-05,1.99874E-06,,,,,
704,,  2.42930E-04,  3.94832E-03,1.360E-05,1.87101E-06,,,,,
705,,  2.25641E-04,  3.66675E-03,1.273E-05,1.75252E-06,,,,,
706,,  2.09478E-04,  3.40297E-03,1.191E-05,1.64197E-06,,,,,
707,,  1.94400E-04,  3.15632E-03,1.114E-05,1.53806E-06,,,,,
708,,  1.80370E-04,  2.92624E-03,1.043E-05,1.44073E-06,,,,,
709,,  1.67347E-04,  2.71213E-03,9.76E-06,1.34993E-06,,,,,
710,,  1.55286E-04,  2.51327E-03,9.14E-06,1.26560E-06,,,,,
711,,  1.44135E-04,  2.32895E-03,8.56E-06,1.18683E-06,,,,,
712,,  1.33830E-04,  2.15836E-03,8.02E-06,1.11273E-06,,,,,
713,,  1.24309E-04,  2.00071E-03,7.51E-06,1.04326E-06,,,,,
714,,  1.15513E-04,  1.85521E-03,7.04E-06,9.78385E-07,,,,,
715,,  1.07388E-04,  1.72108E-03,6.60E-06,9.18078E-07,,,,,
716,,  9.98800E-05,  1.59750E-03,6.18E-06,8.61705E-07,,,,,
717,,  9.29320E-05,  1.48342E-03,5.80E-06,8.08640E-07,,,,,
718,,  8.64907E-05,  1.37787E-03,5.44E-06,7.58853E-07,,,,,
719,,  8.05090E-05,  1.27998E-03,5.10E-06,7.12313E-07,,,,,
720,,  7.49453E-05,  1.18900E-03,4.78E-06,6.68991E-07,,,,,
721,,  6.97652E-05,  1.10433E-03,4.49E-06,6.28444E-07,,,,,
722,,  6.49470E-05,  1.02563E-03,4.21E-06,5.90239E-07,,,,,
723,,  6.04718E-05,  9.52602E-04,3.951E-06,5.54363E-07,,,,,
724,,  5.63207E-05,  8.84959E-04,3.709E-06,5.20798E-07,,,,,
725,,  5.24748E-05,  8.22396E-04,3.482E-06,4.89531E-07,,,,,
726,,  4.89142E-05,  7.64585E-04,3.270E-06,4.60251E-07,,,,,
727,,  4.56137E-05,  7.11110E-04,3.070E-06,4.32648E-07,,,,,
728,,  4.25490E-05,  6.61570E-04,2.884E-06,4.06710E-07,,,,,
729,,  3.96989E-05,  6.15612E-04,2.710E-06,3.82420E-07,,,,,
730,,  3.70443E-05,  5.72917E-04,2.546E-06,3.59766E-07,,,,,
731,,  3.45688E-05,  5.33206E-04,2.393E-06,3.38528E-07,,,,,
732,,  3.22588E-05,  4.96234E-04,2.250E-06,3.18490E-07,,,,,
733,,  3.01026E-05,  4.61782E-04,2.115E-06,2.99644E-07,,,,,
734,,  2.80893E-05,  4.29654E-04,1.989E-06,2.81981E-07,,,,,
735,,  2.62088E-05,  3.99670E-04,1.870E-06,2.65493E-07,,,,,
736,,  2.44529E-05,  3.71690E-04,1.759E-06,2.50026E-07,,,,,
737,,  2.28177E-05,  3.45650E-04,1.655E-06,2.35424E-07,,,,,
738,,  2.12995E-05,  3.21494E-04,1.557E-06,2.21681E-07,,,,,
739,,  1.98941E-05,  2.99155E-04,1.466E-06,2.08789E-07,,,,,
740,,  1.85965E-05,  2.78553E-04,1.379E-06,1.96740E-07,,,,,
741,,  1.74003E-05,  2.59583E-04,1.299E-06,1.85426E-07,,,,,
742,,  1.62931E-05,  2.42061E-04,1.223E-06,1.74736E-07,,,,,
743,,  1.52632E-05,  2.25809E-04,1.151E-06,1.64666E-07,,,,,
744,,  1.43005E-05,  2.10674E-04,1.084E-06,1.55212E-07,,,,,
745,,  1.33965E-05,  1.96528E-04,1.022E-06,1.46370E-07,,,,,
746,,  1.25449E-05,  1.83271E-04,9.62E-07,1.38062E-07,,,,,
747,,  1.17441E-05,  1.70868E-04,9.07E-07,1.30208E-07,,,,,
748,,  1.09929E-05,  1.59290E-04,8.55E-07,1.22805E-07,,,,,
749,,  1.02900E-05,  1.48506E-04,8.06E-07,1.15848E-07,,,,,
750,,  9.63397E-06,  1.38482E-04,7.60E-07,1.09332E-07,,,,,
751,,  9.02263E-06,  1.29179E-04,7.16E-07,1.03202E-07,,,,,
752,,  8.45301E-06,  1.20542E-04,6.75E-07,9.74005E-08,,,,,
753,,  7.92207E-06,  1.12519E-04,6.37E-07,9.19274E-08,,,,,
754,,  7.42700E-06,  1.05061E-04,6.01E-07,8.67807E-08,,,,,
755,,  6.96522E-06,  9.81226E-05,5.67E-07,8.19587E-08,,,,,
756,,  6.53422E-06,  9.16641E-05,5.35E-07,7.74202E-08,,,,,
757,,  6.13129E-06,  8.56455E-05,5.05E-07,7.31243E-08,,,,,
758,,  5.75391E-06,  8.00302E-05,4.77E-07,6.90693E-08,,,,,
759,,  5.39984E-06,  7.47858E-05,4.50E-07,6.52534E-08,,,,,
760,,  5.06711E-06,  6.98827E-05,4.25E-07,6.16749E-08,,,,,
761,,  4.75413E-06,  6.52966E-05,4.01E-07,5.83044E-08,,,,,
762,,  4.46019E-06,  6.10128E-05,3.790E-07,5.51124E-08,,,,,
763,,  4.18466E-06,  5.70183E-05,3.580E-07,5.20972E-08,,,,,
764,,  3.92690E-06,  5.32996E-05,3.382E-07,4.92575E-08,,,,,
765,,  3.68617E-06,  4.98430E-05,3.196E-07,4.65916E-08,,,,,
766,,  3.46157E-06,  4.66322E-05,3.021E-07,4.40782E-08,,,,,
767,,  3.25155E-06,  4.36424E-05,2.855E-07,4.16962E-08,,,,,
768,,  3.05464E-06,  4.08501E-05,2.699E-07,3.94444E-08,,,,,
769,,  2.86951E-06,  3.82346E-05,2.552E-07,3.73218E-08,,,,,
770,,  2.69504E-06,  3.57781E-05,2.413E-07,3.53272E-08,,,,,
771,,  2.53040E-06,  3.34676E-05,2.282E-07,3.34451E-08,,,,,
772,,  2.37550E-06,  3.13007E-05,2.159E-07,3.16600E-08,,,,,
773,,  2.23033E-06,  2.92761E-05,2.042E-07,2.99712E-08,,,,,
774,,  2.09478E-06,  2.73908E-05,1.932E-07,2.83782E-08,,,,,
775,,  1.96864E-06,  2.56411E-05,1.829E-07,2.68803E-08,,,,,
776,,  1.85152E-06,  2.40205E-05,1.731E-07,2.54800E-08,,,,,
777,,  1.74248E-06,  2.25160E-05,1.638E-07,2.41660E-08,,,,,
778,,  1.64060E-06,  2.11145E-05,1.551E-07,2.29167E-08,,,,,
779,,  1.54507E-06,  1.98046E-05,1.468E-07,2.17105E-08,,,,,
780,,  1.45518E-06,  1.85766E-05,1.390E-07,2.05258E-08,,,,,
