wl,Vlambda,Vprime,Vlambda/mac,Scone/mac,Melanopsin,Scone,ybar
543.000000000,0.971154116,0.598500000,0.984761165,0.003982624,0.259000000,0.010315000,0.971260600
544.000000000,0.976162383,0.581000000,0.988021290,0.003711315,0.247000000,0.009630000,0.976022500
545.000000000,0.980197912,0.564500000,0.990286707,0.003437155,0.235000000,0.008935000,0.980300000
546.000000000,0.984233441,0.548000000,0.992527024,0.003163944,0.224000000,0.008240000,0.984092400
547.000000000,0.987344086,0.531000000,0.993828123,0.002889824,0.213000000,0.007540000,0.987418200
548.000000000,0.990454732,0.514000000,0.995124433,0.002616714,0.203000000,0.006840000,0.990312800
549.000000000,0.992773714,0.497500000,0.995622046,0.002344606,0.193000000,0.006140000,0.992811600
550.000000000,0.995092696,0.481000000,0.996117833,0.002073497,0.183000000,0.005440000,0.994950100
551.000000000,0.996667022,0.464500000,0.997463974,0.001954888,0.174000000,0.005130000,0.996710800
552.000000000,0.998241347,0.448000000,0.998809494,0.001836333,0.164000000,0.004820000,0.998098300
553.000000000,0.999066416,0.432500000,0.999404884,0.001717833,0.156000000,0.004510000,0.999112000
554.000000000,0.999891484,0.417000000,1.000000000,0.001599388,0.147000000,0.004200000,0.999748200
555.000000000,0.999945742,0.401700000,0.999824125,0.001479093,0.139000000,0.003885000,1.000000000
556.000000000,1.000000000,0.386400000,0.999648067,0.001358854,0.132000000,0.003570000,0.999856700
557.000000000,0.999234290,0.371650000,0.998652599,0.001240572,0.124000000,0.003260000,0.999304600
558.000000000,0.998468580,0.356900000,0.997657589,0.001122345,0.117000000,0.002950000,0.998325500
559.000000000,0.996805592,0.342850000,0.995766694,0.001004173,0.111000000,0.002640000,0.996898700
560.000000000,0.995142604,0.328800000,0.993876670,0.000886055,0.104000000,0.002330000,0.995000000
561.000000000,0.992513527,0.315300000,0.990565496,0.000856940,0.098200000,0.002255000,0.992600500
562.000000000,0.989884450,0.301800000,0.987258898,0.000827867,0.092400000,0.002180000,0.989742600
563.000000000,0.986374697,0.289000000,0.983079134,0.000796936,0.086900000,0.002100000,0.986444400
564.000000000,0.982864945,0.276200000,0.978905138,0.000766047,0.081600000,0.002020000,0.982724100
565.000000000,0.978544125,0.264050000,0.973929657,0.000735201,0.076600000,0.001940000,0.978600000
566.000000000,0.974223306,0.251900000,0.968958722,0.000704396,0.071900000,0.001860000,0.974083700
567.000000000,0.969109123,0.240500000,0.963206128,0.000675526,0.067400000,0.001785000,0.969171200
568.000000000,0.963994941,0.229100000,0.957461478,0.000646696,0.063200000,0.001710000,0.963856800
569.000000000,0.958065691,0.218350000,0.950915771,0.000616016,0.059200000,0.001630000,0.958134900
570.000000000,0.952136441,0.207600000,0.944379093,0.000585378,0.055400000,0.001550000,0.952000000
571.000000000,0.945385073,0.197600000,0.937466746,0.000556925,0.051800000,0.001475000,0.945450400
