607,21.01,19.57,16.2,13.62,12.32,17.28,13.67,19.92,15.79
608,21.01,19.55,16.14,13.5,12.18,17.94,14.18,20.12,15.88
609,21,19.52,16.07,13.37,12.05,18.68,14.74,20.32,15.96
610,20.97,19.48,16,13.24,11.91,19.49,15.35,20.52,16.03
611,20.94,19.43,15.92,13.11,11.77,20.39,16,20.72,16.1
612,20.89,19.38,15.83,12.98,11.63,21.38,16.76,20.93,16.18
613,20.84,19.32,15.74,12.85,11.49,22.48,17.59,21.13,16.26
614,20.78,19.25,15.64,12.71,11.35,23.7,18.43,21.33,16.33
615,20.71,19.19,15.54,12.57,11.2,25.07,19.43,21.52,16.4
616,20.63,19.11,15.44,12.43,11.06,26.58,20.53,21.71,16.46
617,20.54,19.02,15.32,12.29,10.91,28.24,21.71,21.89,16.52
618,20.44,18.92,15.21,12.14,10.76,30.03,22.98,22.05,16.57
619,20.34,18.82,15.08,11.99,10.61,31.93,24.42,22.22,16.62
620,20.23,18.72,14.96,11.84,10.47,33.87,26.01,22.38,16.67
621,20.11,18.61,14.83,11.69,10.32,35.77,27.73,22.54,16.72
622,19.98,18.49,14.7,11.55,10.17,37.52,29.65,22.68,16.77
623,19.85,18.37,14.56,11.41,10.03,39.01,31.73,22.82,16.82
624,19.71,18.23,14.41,11.26,9.88,40.12,33.99,22.95,16.85
625,19.56,18.1,14.27,11.12,9.73,40.75,36.47,23.07,16.88
626,19.41,17.96,14.11,10.97,9.58,40.84,39.12,23.17,16.91
627,19.26,17.82,13.96,10.82,9.43,40.34,41.91,23.26,16.92
628,19.1,17.67,13.81,10.67,9.29,39.27,44.89,23.34,16.93
629,18.93,17.51,13.65,10.52,9.14,37.67,48,23.43,16.93
630,18.76,17.34,13.48,10.38,9,35.59,51.1,23.51,16.93
631,18.58,17.17,13.32,10.23,8.85,33.12,54.13,23.57,16.93
632,18.4,17,13.15,10.09,8.71,30.36,57,23.61,16.91
633,18.21,16.83,12.98,9.95,8.56,27.44,59.49,23.66,16.9
634,18.02,16.65,12.8,9.8,8.42,24.48,61.51,23.68,16.87
635,17.82,16.47,12.62,9.65,8.27,21.59,62.69,23.71,16.85
636,17.62,16.29,12.44,9.5,8.13,18.88,62.84,23.72,16.83
637,17.42,16.1,12.26,9.35,7.99,16.44,61.88,23.73,16.79
638,17.21,15.9,12.08,9.2,7.85,14.32,59.68,23.72,16.74
639,17,15.7,11.9,9.06,7.71,12.54,56.37,23.7,16.69
640,16.78,15.51,11.71,8.91,7.57,11.11,52.07,23.67,16.62
641,16.57,15.31,11.53,8.76,7.43,9.97,47.3,23.62,16.55
642,16.34,15.1,11.34,8.62,7.3,9.07,42.2,23.57,16.48
643,16.12,14.9,11.15,8.47,7.16,8.36,37.22,23.51,16.4
644,15.89,14.7,10.97,8.33,7.03,7.77,32.68,23.43,16.32
645,15.66,14.49,10.78,8.19,6.9,7.27,28.62,23.35,16.23
646,15.43,14.28,10.59,8.05,6.76,6.84,25.03,23.26,16.14
647,15.2,14.07,10.41,7.92,6.63,6.46,22.01,23.16,16.04
648,14.96,13.85,10.22,7.78,6.51,6.13,19.46,23.05,15.93
649,14.73,13.64,10.03,7.64,6.38,5.84,17.29,22.95,15.84
650,14.49,13.42,9.85,7.51,6.25,5.58,15.5,22.81,15.72
651,14.25,13.2,9.66,7.38,6.13,5.36,13.96,22.66,15.61
652,14.02,12.98,9.48,7.25,6.01,5.15,12.63,22.51,15.48
653,13.78,12.76,9.29,7.12,5.89,4.97,11.47,22.35,15.35
654,13.54,12.55,9.11,6.99,5.77,4.8,10.47,22.19,15.21
655,13.31,12.33,8.93,6.86,5.65,4.64,9.58,22.01,15.07
656,13.07,12.11,8.75,6.72,5.53,4.5,8.81,21.84,14.93
657,12.84,11.9,8.57,6.59,5.42,4.35,8.13,21.64,14.78
