500,12.520,7.280,4.670,3.000,11.890,6.280,13.430,12.350,9.740,5.940,4.720,3.430
501,12.457,7.251,4.656,2.992,11.833,6.259,13.392,12.364,9.764,5.277,4.104,2.926
502,12.394,7.224,4.644,2.987,11.776,6.240,13.356,12.381,9.790,4.688,3.559,2.481
503,12.331,7.198,4.634,2.983,11.720,6.224,13.320,12.399,9.818,4.171,3.084,2.094
504,12.266,7.173,4.626,2.980,11.665,6.211,13.285,12.419,9.848,3.722,2.675,1.764
505,12.200,7.150,4.620,2.980,11.610,6.200,13.250,12.440,9.880,3.340,2.330,1.490
506,12.127,7.126,4.614,2.980,11.552,6.191,13.215,12.460,9.909,3.048,2.069,1.299
507,12.053,7.103,4.611,2.983,11.495,6.185,13.180,12.482,9.939,2.812,1.861,1.154
508,11.978,7.083,4.610,2.989,11.439,6.182,13.146,12.504,9.971,2.623,1.697,1.048
509,11.904,7.065,4.613,2.998,11.384,6.184,13.113,12.526,10.004,2.472,1.570,0.973
510,11.830,7.050,4.620,3.010,11.330,6.190,13.080,12.550,10.040,2.350,1.470,0.920
511,11.760,7.040,4.632,3.027,11.279,6.200,13.049,12.576,10.081,2.225,1.367,0.858
512,11.693,7.033,4.649,3.048,11.230,6.216,13.019,12.603,10.124,2.119,1.282,0.807
513,11.627,7.031,4.670,3.073,11.183,6.237,12.989,12.629,10.169,2.027,1.210,0.767
514,11.562,7.033,4.697,3.104,11.140,6.265,12.959,12.655,10.214,1.949,1.151,0.736
515,11.500,7.040,4.730,3.140,11.100,6.300,12.930,12.680,10.260,1.880,1.100,0.710
516,11.438,7.052,4.767,3.180,11.063,6.344,12.901,12.704,10.306,1.808,1.046,0.679
517,11.379,7.069,4.812,3.227,11.030,6.396,12.872,12.726,10.352,1.743,0.997,0.652
518,11.322,7.093,4.863,3.280,11.001,6.455,12.842,12.745,10.396,1.685,0.955,0.629
519,11.269,7.123,4.922,3.341,10.978,6.523,12.811,12.760,10.439,1.634,0.920,0.612
